symbol,days,start,end
MRO,15605,1962-01-03,2023-12-29
MPC,3149,2011-06-27,2023-12-29
MRVI,780,2020-11-23,2023-12-29
MKL,9335,1986-12-15,2023-12-29
MKTX,4819,2004-11-08,2023-12-29
MAR,6486,1998-03-24,2023-12-29
VAC,3054,2011-11-09,2023-12-29
MMC,12826,1973-02-22,2023-12-29
MLM,7518,1994-02-18,2023-12-29
MRVL,5911,2000-07-03,2023-12-29
MAS,11040,1980-03-18,2023-12-29
MASI,4127,2007-08-09,2023-12-29
MTZ,12826,1973-02-22,2023-12-29
MA,4429,2006-05-26,2023-12-29
MTCH,7793,1993-01-20,2023-12-29
MAT,11986,1976-06-18,2023-12-29
MKC,12826,1973-02-22,2023-12-29
MCD,14470,1966-07-06,2023-12-29
MCK,7334,1994-11-11,2023-12-29
MDU,12826,1973-02-22,2023-12-29
MPW,4651,2005-07-11,2023-12-29
MEDP,1858,2016-08-12,2023-12-29
MDT,12777,1973-05-03,2023-12-29
MRK,15605,1962-01-03,2023-12-29
MRCY,6521,1998-02-02,2023-12-29
META,2922,2012-05-21,2023-12-29
MET,5971,2000-04-06,2023-12-29
MTD,6572,1997-11-17,2023-12-29
MTG,8160,1991-08-08,2023-12-29
MGM,8986,1988-05-03,2023-12-29
MCHP,7751,1993-03-22,2023-12-29
MU,9975,1984-06-04,2023-12-29
MSFT,9526,1986-03-14,2023-12-29
MAA,7532,1994-01-31,2023-12-29
MIDD,9170,1987-08-11,2023-12-29
MRTX,2634,2013-07-16,2023-12-29
MCW,632,2021-06-28,2023-12-29
MKSI,6229,1999-03-31,2023-12-29
MRNA,1273,2018-12-10,2023-12-29
MHK,7995,1992-04-02,2023-12-29
MOH,5159,2003-07-03,2023-12-29
TAP,12243,1975-06-13,2023-12-29
MDLZ,5672,2001-06-14,2023-12-29
MDB,1558,2017-10-20,2023-12-29
MPWR,4809,2004-11-22,2023-12-29
MNST,9591,1985-12-10,2023-12-29
MCO,7342,1994-11-01,2023-12-29
MS,7769,1993-02-24,2023-12-29
MORN,4697,2005-05-04,2023-12-29
MOS,9053,1988-01-27,2023-12-29
MSI,15605,1962-01-03,2023-12-29
MP,887,2020-06-23,2023-12-29
MSA,12825,1973-02-23,2023-12-29
MSM,7057,1995-12-18,2023-12-29
MSCI,4057,2007-11-16,2023-12-29
MUSA,2609,2013-08-20,2023-12-29
NDAQ,5412,2002-07-02,2023-12-29
NTRA,2139,2015-07-02,2023-12-29
NFG,12776,1973-05-04,2023-12-29
NSA,2188,2015-04-23,2023-12-29
NCNO,872,2020-07-15,2023-12-29
NATL,52,2023-10-17,2023-12-29
VYX,6807,1996-12-12,2023-12-29
NLOP,37,2023-11-07,2023-12-29
NTAP,7074,1995-11-22,2023-12-29
NFLX,5438,2002-05-24,2023-12-29
NBIX,6947,1996-05-24,2023-12-29
NFE,1237,2019-02-01,2023-12-29
NYCB,7578,1993-11-24,2023-12-29
NYT,12776,1973-05-04,2023-12-29
NWL,11040,1980-03-18,2023-12-29
NEU,11040,1980-03-18,2023-12-29
NEM,11040,1980-03-18,2023-12-29
NWSA,2651,2013-06-20,2023-12-29
NWS,2651,2013-06-20,2023-12-29
NXST,5057,2003-11-26,2023-12-29
NEE,12826,1973-02-22,2023-12-29
NKE,10860,1980-12-03,2023-12-29
NI,12826,1973-02-22,2023-12-29
NNN,9885,1984-10-10,2023-12-29
NDSN,11039,1980-03-19,2023-12-29
JWN,11040,1980-03-18,2023-12-29
NSC,10482,1982-06-03,2023-12-29
NTRS,11040,1980-03-18,2023-12-29
NOC,10587,1982-01-04,2023-12-29
NCLH,2755,2013-01-22,2023-12-29
NOV,6837,1996-10-30,2023-12-29
NVCR,2075,2015-10-02,2023-12-29
NRG,5053,2003-12-03,2023-12-29
NU,516,2021-12-10,2023-12-29
NUE,11040,1980-03-18,2023-12-29
NTNX,1823,2016-10-03,2023-12-29
NVT,1431,2018-04-25,2023-12-29
NVDA,6275,1999-01-25,2023-12-29
NVR,9688,1985-07-23,2023-12-29
ORLY,7727,1993-04-26,2023-12-29
OXY,10587,1982-01-04,2023-12-29
OGE,12826,1973-02-22,2023-12-29
OKTA,1693,2017-04-10,2023-12-29
OLPX,565,2021-10-01,2023-12-29
ODFL,8105,1991-10-25,2023-12-29
ORI,11040,1980-03-18,2023-12-29
OLN,12826,1973-02-22,2023-12-29
OLLI,2129,2015-07-17,2023-12-29
